[2025-07-11T17:39:51,342Z] [     172.18.0.1 -> webapi-2  ] GET   302 0ms    /
[2025-07-11T17:39:52,129Z] [     172.18.0.1 -> webapi-6  ] POST  200 4ms    /api/logout
[2025-07-11T17:39:52,540Z] [     172.18.0.1 -> webapi-6  ] GET   200 4ms    /api/stat/sysinfo
[2025-07-11T17:39:53,093Z] [     172.18.0.1 -> webapi-6  ] GET   200 2ms    /api/stat/sdn
[2025-07-11T17:39:53,358Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 20ms   /
[2025-07-11T17:39:53,367Z] [0:0:0:0:0:0:0:1 -> webapi-6  ] HEAD  200 6ms    /setup/
[2025-07-11T17:39:53,442Z] [     172.18.0.1 -> webapi-6  ] GET   200 26ms   /api/stat/ccode
[2025-07-11T17:39:53,697Z] [     172.18.0.1 -> webapi-6  ] POST  200 3ms    /api/stat/device
[2025-07-11T17:39:53,920Z] [     172.18.0.1 -> webapi-6  ] GET   200 7ms    /v2/api/site/default/apgroups
[2025-07-11T17:40:05,418Z] [     172.18.0.1 -> webapi-6  ] GET   302 1ms    /
[2025-07-11T17:40:06,518Z] [     172.18.0.1 -> webapi-2  ] POST  200 4ms    /api/logout
[2025-07-11T17:40:06,632Z] [     172.18.0.1 -> webapi-6  ] GET   200 3ms    /api/stat/sysinfo
[2025-07-11T17:40:06,781Z] [     172.18.0.1 -> webapi-6  ] GET   200 1ms    /api/stat/sdn
[2025-07-11T17:40:06,902Z] [     172.18.0.1 -> webapi-2  ] GET   200 3ms    /api/stat/ccode
[2025-07-11T17:40:07,009Z] [     172.18.0.1 -> webapi-6  ] POST  200 5ms    /api/stat/device
[2025-07-11T17:40:07,096Z] [     172.18.0.1 -> webapi-2  ] GET   200 5ms    /v2/api/site/default/apgroups
[2025-07-11T17:40:07,182Z] [     172.18.0.1 -> webapi-6  ] GET   200 11ms   /v2/api/timezones
[2025-07-11T17:40:23,454Z] [0:0:0:0:0:0:0:1 -> webapi-6  ] HEAD  302 3ms    /
[2025-07-11T17:40:23,459Z] [0:0:0:0:0:0:0:1 -> webapi-6  ] HEAD  200 3ms    /setup/
[2025-07-11T17:40:53,532Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 2ms    /
[2025-07-11T17:40:53,535Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 2ms    /setup/
[2025-07-11T17:41:23,606Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 2ms    /
[2025-07-11T17:41:23,610Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 2ms    /setup/
[2025-07-11T17:41:53,690Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 3ms    /
[2025-07-11T17:41:53,695Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 4ms    /setup/
[2025-07-11T17:42:23,768Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 2ms    /
[2025-07-11T17:42:23,771Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 2ms    /setup/
[2025-07-11T17:42:53,859Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 2ms    /
[2025-07-11T17:42:53,862Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 2ms    /setup/
[2025-07-11T17:43:23,938Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 2ms    /
[2025-07-11T17:43:23,940Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 1ms    /setup/
[2025-07-11T17:43:54,015Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 4ms    /
[2025-07-11T17:43:54,019Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 3ms    /setup/
[2025-07-11T17:44:24,093Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 1ms    /
[2025-07-11T17:44:24,096Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 2ms    /setup/
